hx_id,total_records,valid_records,valid_data_coverage_pct,median_q_cold_kw,iqr_q_cold_kw,median_lmtd_c,iqr_lmtd_c,median_apparent_ua_f1_kw_k,iqr_apparent_ua_f1_kw_k,metric_status,u_w_m2_k_status,status,usable_for_dashboard,plant_decision_ready
E101AB,2008,1814,90.33864541832668,4680.169363097431,836.0817976266826,45.47819379691326,7.605387970762706,105.27130995903744,38.824414264375534,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E101CD,2008,1779,88.59561752988049,3833.055784454188,682.5589928136942,45.29894713996406,8.737715911253098,85.53055516331635,34.05269801685458,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E101EF,2008,1609,80.12948207171314,3262.7730336628933,349.1787631293273,52.563212883924514,10.412547867642097,61.58236538831111,9.82550716368982,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E102,2008,1700,84.66135458167331,1389.2037510447612,262.32927491210444,43.27234367369531,17.88991397583949,32.26055837446121,19.10586511318543,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E103AB,2008,1054,52.49003984063745,4205.471235830225,1069.0564373890452,41.37534021515617,11.146372314616189,103.69701750830154,42.98514690777501,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E104,2008,1736,86.45418326693228,4095.52315074628,678.2529892984658,46.093635208664814,15.644153627369938,92.24803859328114,28.53026011069933,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E105AB,2008,1539,76.64342629482071,6765.365600795383,1620.9276942261167,67.67033624953854,17.735302103190904,98.7523744119503,42.25224152070862,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E106AB,2008,1002,49.9003984063745,3249.8457169474195,822.6404807972281,32.31658867950648,19.636405325114183,108.46991684027611,65.07936499738298,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E107AB,2008,1357,67.5796812749004,1951.521903051166,900.1461354599871,26.5971845897006,9.628792353745077,72.61582692818997,8.355871028566952,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E108AB,2008,1177,58.61553784860558,1246.7740824689552,1296.3109535160374,31.092042563513047,19.328600128855527,50.90454070573073,35.13288902684551,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E109AB,2008,1437,71.56374501992032,2188.628910295847,971.019716708506,46.33075698919123,13.648251829259138,47.8728245592405,12.103025179664384,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E110ABC,2008,959,47.7589641434263,3895.161289814405,1127.6877531416076,62.477467284561406,15.59048259990348,63.70911820174008,30.814979090459158,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E111,2008,1499,74.65139442231076,2131.354837578688,1097.7564515495496,47.904588351962055,32.72936774360345,42.14768916457445,20.2057543054896,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E112AB,2008,1445,71.9621513944223,4444.5463211136375,1850.8594324467156,46.84477999828211,16.82872623969351,93.75441000532506,42.82769365761932,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
E113A,2008,1579,78.63545816733068,6880.248633647978,2671.88068428272,67.25973998373128,14.491640187566505,103.50280791462475,44.83768405746923,PROVISIONAL_F_FACTOR,BLOCKED_PENDING_VERIFIED_GROUP_AREA,PROVISIONAL,True,False
